City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Strezhevoy,RU,60.73,77.59,80.6,57,0,11.18,Clear
163,Narasannapeta,IN,18.42,84.05,90.9,62,100,10.27,Clouds
164,Verkhnyaya Inta,RU,65.98,60.31,58.03,92,60,11.43,Rain
165,Saldanha,ZA,-33.01,17.94,48.2,87,3,5.82,Clear
166,Morondava,MG,-20.28,44.28,69.58,49,0,14.0,Clear
167,Hirara,JP,24.8,125.28,82.4,83,75,25.28,Rain
168,Luderitz,NA,-26.65,15.16,60.8,31,0,2.24,Clear
169,Kaoma,ZM,-14.78,24.8,42.69,70,0,5.53,Clear
170,Neath,GB,51.66,-3.8,60.01,94,10,4.12,Clear
171,Kedougou,SN,12.56,-12.17,73.98,94,98,2.55,Rain
172,Buala,SB,-8.14,159.59,85.01,69,15,5.97,Clouds
173,Kaitangata,NZ,-46.28,169.85,46.99,85,64,3.24,Rain
174,Rumoi,JP,43.93,141.64,80.37,62,97,4.03,Clouds
175,Simpang,ID,-1.27,104.08,92.35,48,76,4.85,Clouds
176,Roald,NO,62.58,6.13,53.6,93,75,6.93,Rain
177,Ilulissat,GL,69.22,-51.1,41.0,80,3,3.36,Clear
178,Xai-Xai,MZ,-25.05,33.64,58.32,85,0,3.71,Clear
179,Oktyabrskoye,RU,43.06,44.74,64.4,88,100,6.71,Rain
180,Arkadelphia,US,34.12,-93.05,71.6,94,1,1.9,Clear
181,Half Moon Bay,US,37.46,-122.43,66.2,93,1,8.21,Clear
182,Chuy,UY,-33.7,-53.46,60.13,93,79,3.69,Clouds
183,Kiunga,PG,-6.12,141.29,86.63,60,50,2.82,Rain
184,Te Anau,NZ,-45.42,167.72,50.22,85,100,1.28,Clouds
185,Cidreira,BR,-30.18,-50.21,61.09,84,10,2.57,Clear
186,Dingle,PH,11.0,122.67,88.88,64,84,7.18,Rain
187,Carnarvon,AU,-24.87,113.63,66.2,72,90,11.41,Clouds
188,Husavik,IS,66.04,-17.34,48.2,93,90,4.7,Drizzle
189,Kahului,US,20.89,-156.47,80.6,61,40,14.99,Clouds
190,Omboue,GA,-1.57,9.26,71.24,79,98,4.45,Clouds
191,Marsh Harbour,BS,26.54,-77.06,82.99,81,93,25.37,Clouds
192,Chokurdakh,RU,70.63,147.92,51.71,57,100,4.5,Clouds
193,Smirnykh,RU,49.75,142.83,61.41,86,100,4.47,Clouds
194,Alta Floresta,BR,-9.88,-56.09,67.73,50,0,2.93,Clear
195,Hambantota,LK,6.12,81.12,84.2,79,75,12.75,Clouds
196,San Cristobal,VE,7.77,-72.22,65.37,89,29,4.65,Clouds
197,Kavieng,PG,-2.57,150.8,84.9,73,71,8.86,Clouds
198,Havelock,US,34.88,-76.9,84.0,88,1,4.7,Clear
199,Luena,AO,-11.78,19.92,48.38,51,34,5.84,Clouds
200,Warrnambool,AU,-38.38,142.48,50.0,77,88,8.01,Clouds
201,Yarkovo,RU,57.4,67.08,81.84,50,73,9.1,Clouds
202,Bilma,NE,18.69,12.92,87.96,36,23,7.25,Clouds
203,Tautira,PF,-17.73,-149.15,78.8,69,20,8.05,Clouds
204,Key West,US,24.56,-81.78,87.8,74,20,4.7,Clouds
205,Mount Isa,AU,-20.73,139.5,84.2,17,0,8.05,Clear
206,Boldu,RO,45.33,27.23,64.4,55,40,3.36,Clouds
207,Elko,US,41.0,-115.5,84.2,9,1,6.93,Clear
208,Tiksi,RU,71.69,128.87,48.56,73,25,8.7,Clouds
209,Porto Novo,BJ,6.5,2.6,77.0,83,40,11.41,Clouds
210,Rafsanjan,IR,30.41,55.99,91.63,19,0,1.41,Clear
211,Eyl,SO,7.98,49.82,85.03,49,36,32.82,Clouds
212,Dzhebariki-Khaya,RU,62.22,135.8,81.45,26,46,5.14,Clouds
213,Bakel,SN,14.9,-12.46,80.76,76,100,14.09,Clouds
214,Bandarbeyla,SO,9.49,50.81,85.03,48,33,34.05,Clouds
215,Lodja,CD,-3.48,23.43,71.01,70,51,1.23,Clouds
216,Hudson Bay,CA,52.85,-102.38,58.12,80,45,3.69,Clouds
217,Seoul,KR,37.57,126.98,80.6,88,75,12.37,Rain
218,Kruisfontein,ZA,-34.0,24.73,62.82,28,0,12.55,Clear
219,Aksarka,RU,66.56,67.8,69.73,78,100,13.78,Clouds
220,Port Elizabeth,ZA,-33.92,25.57,59.0,38,0,9.17,Clear
221,Meiningen,DE,50.57,10.42,57.99,86,100,4.21,Clouds
222,Blackwater,AU,-23.58,148.88,66.13,55,67,7.83,Clouds
223,Kodinsk,RU,58.69,99.18,80.67,31,48,5.5,Clouds
224,Nikolskoye,RU,59.7,30.79,60.8,87,40,4.47,Clouds
225,Coolum Beach,AU,-26.53,153.1,68.0,69,91,1.99,Clouds
226,Sunrise Manor,US,36.21,-115.07,98.6,6,1,8.05,Clear
227,Karratha,AU,-20.74,116.85,81.46,24,41,12.28,Clouds
228,Airai,TL,-8.93,125.41,72.7,54,28,3.42,Clouds
229,Dingli,MT,35.86,14.38,79.0,94,20,2.24,Clouds
230,Sangar,RU,63.92,127.47,75.36,35,54,5.57,Clouds
231,Damghan,IR,36.17,54.35,86.22,22,31,1.79,Clouds
232,Cabildo,AR,-38.48,-61.9,39.0,87,52,1.99,Clouds
233,Sijunjung,ID,-0.69,100.95,90.84,49,76,1.01,Clouds
234,Khandyga,RU,62.67,135.6,81.16,28,13,4.32,Clouds
235,Buraydah,SA,26.33,43.98,95.0,30,0,9.17,Clear
