City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
650,Alwar,IN,27.57,76.6,89.02,62,1,13.56
651,Grand Gaube,MU,-20.01,57.66,66.99,71,39,3.0
652,Eureka,US,40.8,-124.16,69.01,72,1,16.11
653,Waingapu,ID,-9.66,120.26,80.78,54,3,9.22
654,Brainerd,US,46.36,-94.2,69.8,46,75,6.93
655,Bacabal,BR,-4.29,-44.79,76.23,67,0,1.45
656,Melong,CM,5.12,9.96,66.04,94,100,1.66
657,Gilleleje,DK,56.12,12.31,59.0,88,12,11.16
658,Valdez,EC,1.25,-78.98,77.88,87,100,10.36
659,Watertown,US,42.37,-71.18,80.01,81,40,8.05
660,Kunya,NG,12.22,8.53,75.2,88,20,6.93
661,Puerto Penasco,MX,31.32,-113.53,89.01,77,0,5.01
662,Juquia,BR,-24.32,-47.63,59.7,95,51,0.38
663,Kalmunai,LK,7.42,81.82,82.02,68,100,6.2
664,Conde,BR,-7.26,-34.91,71.6,94,1,5.82
665,Santa Maria Da Vitoria,BR,-13.39,-44.19,67.37,51,23,4.81
666,Gayny,RU,60.31,54.32,49.75,93,27,7.2
667,Ratnapura,LK,6.68,80.4,76.41,84,100,2.73
668,Magway,MM,20.15,94.92,80.11,90,100,6.4
669,Itoigawa,JP,37.03,137.85,84.0,81,98,1.01
670,Krasnoselkup,RU,65.7,82.47,66.45,64,66,5.14
671,Christchurch,NZ,-43.53,172.63,57.0,82,100,3.83
672,Tocopilla,CL,-22.09,-70.2,60.89,60,19,7.76
673,Imeni Poliny Osipenko,RU,52.42,136.49,56.97,80,100,8.99
674,Miramar,US,25.99,-80.23,84.2,94,75,3.36
675,Sakakah,SA,29.97,40.21,84.2,16,0,9.17
676,Chumikan,RU,54.72,135.31,57.04,73,94,11.77
677,Bonavista,CA,48.65,-53.11,55.0,74,0,3.09
678,Sayaxche,GT,16.52,-90.17,78.58,84,86,1.41
679,Babu,CN,24.42,111.52,86.11,70,13,1.77
680,Aquin,HT,18.28,-73.4,81.28,80,100,5.14
681,Mumford,GH,5.26,-0.76,72.93,86,93,12.21
682,Srikakulam,IN,18.3,83.9,85.35,74,100,8.5
683,Lewisporte,CA,49.25,-55.05,61.0,82,20,4.7
684,Koulamoutou,GA,-1.13,12.47,71.4,81,91,3.56
