City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
324,Dewas,IN,77.83,Clouds,22.97,76.07,OYO 26976 Valley Heights Spa And Resorts
328,Victoria,HK,81.0,Rain,22.29,114.16,Mini Hotel Central
329,Padang,ID,82.4,Clouds,-0.95,100.35,Mercure Padang
332,Lichuan,CN,80.74,Clear,30.3,108.85,Yicheng Hotel
337,Portland,US,84.99,Clouds,45.52,-122.68,Portland Marriott City Center
339,The Valley,AI,84.2,Clouds,18.22,-63.06,CeBlue Villas & Beach Resort
343,Jiaohe,CN,81.07,Clouds,43.73,127.34,Home Inn Fashion Hotel
344,Phuntsholing,BT,85.53,Clouds,26.85,89.39,Hotel White House
345,Daru,PG,78.49,Rain,-9.08,143.21,New century hotel
346,Sompeta,IN,86.83,Clouds,18.93,84.6,V.B.R A/C Lodge And Function Hall
348,Gizo,SB,84.07,Clouds,-8.1,156.84,Imagination Island
350,Shimoda,JP,80.6,Clouds,34.67,138.95,Shimoda Tokyu Hotel
351,Meulaboh,ID,78.37,Clouds,4.14,96.13,Kost Pria
353,Auki,SB,87.26,Clear,-8.77,160.7,Auki Motel
358,Boa Vista,BR,80.6,Clouds,2.82,-60.67,Aipana Plaza Hotel
360,Nuevitas,CU,78.8,Clouds,21.55,-77.26,Hotel Caonaba
361,Nakhon Nayok,TH,89.01,Rain,14.2,101.21,Chandra Resort Hotel
362,Kilgore,US,82.4,Clear,32.39,-94.88,Best Western Inn of Kilgore
368,Acapulco,MX,86.0,Clouds,16.86,-99.89,HS Hotsson Smart Acapulco
369,Gushikawa,JP,89.6,Clouds,26.35,127.87,Kirari Guest House
380,Praia,CV,80.6,Clouds,14.92,-23.51,LT Aparthotel
381,Thompson,CA,77.0,Clouds,55.74,-97.86,Burntwood Hotel
383,Awbari,LY,81.81,Clear,26.59,12.78,فندق أوباري
388,Jaisinghnagar,IN,82.49,Clouds,23.7,81.38,Sonu Up Dhawa
397,Jining,CN,87.67,Clouds,35.41,116.58,Yunhe Star Hotel
398,Algeciras,ES,78.8,Clear,36.13,-5.45,AC Hotel by Marriott Algeciras
399,Kaitong,CN,80.78,Clear,44.81,123.15,Jinhe Fashion Hotel
401,Fukue,JP,82.4,Clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
406,Linjiang,CN,79.86,Clouds,41.81,126.91,Mingmen Business Hotel
411,Kindersley,CA,78.8,Clouds,51.47,-109.17,Kindersley Inn
413,Maonon,PH,85.87,Clouds,13.04,123.37,Yap Family Private Resort
414,Havelock,US,84.0,Clear,34.88,-76.9,Sherwood Motel
418,Bonoua,CI,75.2,Clouds,5.27,-3.6,Hotel Bon Samaritian
421,Bandarbeyla,SO,79.97,Clear,9.49,50.81,REER XOOSHLE GROUP
424,Tiarei,PF,80.6,Rain,-17.53,-149.33,Le Rocher de Tahiti
425,Basco,PH,84.58,Clouds,20.45,121.97,Nathaniel's Lodge
428,Nicoya,CR,77.63,Rain,10.15,-85.45,Guayacan Real
431,Kendari,ID,84.54,Clouds,-3.94,122.5,Hotel Wixel
433,Coahuayana,MX,80.98,Clouds,18.73,-103.68,Hotel Los Arcos
434,Umm Lajj,SA,84.87,Clouds,25.02,37.27,Moon light Furnished Units
437,Santa Rosa,PH,89.01,Clouds,14.31,121.11,Amethyst Econotel
438,Lenger,KZ,75.2,Clear,42.18,69.88,Gostevoy Dom 1
440,Ugoofaaru,MV,82.6,Clouds,5.67,73.0,Ungoofaaru Inn
442,Wuda,CN,82.71,Clear,39.5,106.71,Grape Sightseeing Garden
444,Urumqi,CN,82.99,Clouds,43.8,87.6,Hua Ling Grand Hotel Urumqi
447,Samarai,PG,77.56,Rain,-10.62,150.67,Nuli Sapi
455,Galesong,ID,84.2,Clouds,-5.32,119.37,Sapriadi Appy
457,Bac Lieu,VN,84.43,Rain,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
461,Kalmunai,LK,82.02,Clouds,7.42,81.82,VS Villa
469,Oranjestad,AW,84.2,Clouds,12.52,-70.03,Divi Village Golf & Beach Resort
475,Sahaswan,IN,88.52,Rain,28.08,78.75,Lala Munna Lal Halbayi
477,Qingdao,CN,86.0,Rain,36.1,120.37,Holiday Inn Qingdao City Centre
478,Broome,US,77.0,Clear,42.25,-75.83,Chenango Valley State Park
479,Along,IN,83.25,Clouds,28.17,94.77,Hotel West
484,Surt,LY,75.7,Clear,31.21,16.59,City Hotel
485,Bathsheba,BB,82.4,Clouds,13.22,-59.52,Atlantis Hotel
488,Pochutla,MX,82.4,Clouds,15.74,-96.47,Hotel Posada San Jose
489,Fare,PF,79.38,Clouds,-16.7,-151.02,Maitai Lapita Village Huahine
493,Tarakan,ID,81.37,Clear,3.3,117.63,Hotel D' CaLia Tarakan
497,Miri,MY,84.2,Clouds,4.41,114.01,"Mega Hotel, Miri"
503,Kilindoni,TZ,76.69,Rain,-7.91,39.67,Bustani B&B
511,Brownsville,US,82.4,Clear,25.9,-97.5,Hotel Alameda Express
512,Panzhihua,CN,81.0,Clouds,26.59,101.71,Electric Power Hotel
